timestamp_ms,frames_decoded,frames_dropped,frames_received,framerate,jitter_buffer_delay_ms,video_width,video_height,total_decode_time_ms,total_bytes_received,bitrates,overall_avg_bitrates,decoder_implementation
209267493,5390.2,0,5390.2,29.8,117073,1920,1080,38817.5,328188677,1.80069e+07,1.44847e+07,libvpx
209268495,5422,0,5422,31.8,117601,1920,1080,39044.1,329731693,1.23195e+07,1.44728e+07,libvpx
209269496,5451.8,0,5451.8,29.8,118086,1920,1080,39262.4,331116310,1.10659e+07,1.44542e+07,libvpx
209270497,5482,0,5482,30.2,118490,1920,1080,39476,332543051,1.14025e+07,1.44376e+07,libvpx
209271498,5511.8,0,5511.8,29.8,118900,1920,1080,39730,334012113,1.17408e+07,1.4423e+07,libvpx
209272499,5541.8,0,5541.8,30,119375,1920,1080,39977.4,335569726,1.24485e+07,1.44124e+07,libvpx
209273500,5571.8,0,5571.8,30,119876,1920,1080,40195.9,337144138,1.25827e+07,1.44026e+07,libvpx
209274501,5601.8,0,5601.8,30,120472,1920,1080,40414.7,338626476,1.18469e+07,1.4389e+07,libvpx
209275503,5632,0,5632,30.2,121041,1920,1080,40630.9,340171675,1.23369e+07,1.43782e+07,libvpx
209276504,5661.8,0,5661.8,29.8,121565,1920,1080,40848.1,341765220,1.27356e+07,1.43695e+07,libvpx
209277505,5692,0,5692,30,122053,1920,1080,41058.5,343232092,1.17233e+07,1.43557e+07,libvpx
209278507,5721.6,0,5721.6,29.6,122521,1920,1080,41263.1,344817923,1.26613e+07,1.43469e+07,libvpx
209279509,5752,0,5752,30.4,123034,1920,1080,41487.3,346344791,1.21906e+07,1.43357e+07,libvpx
209280511,5782,0,5782,30,123623,1920,1080,41722.4,347981224,1.30653e+07,1.43291e+07,libvpx
209281513,5812.2,0,5812.2,30.2,124189,1920,1080,41938.6,349387516,1.12279e+07,1.43132e+07,libvpx
209282514,5842.6,0,5842.6,30.2,124613,1920,1080,42158,350835734,1.15742e+07,1.42993e+07,libvpx
209283516,5871.6,0,5871.6,28.8,125271,1920,1080,42385.4,352576660,1.38996e+07,1.42972e+07,libvpx
209284517,5902.6,0,5902.6,30.8,125910,1920,1080,42617.7,354134117,1.24472e+07,1.42879e+07,libvpx
209285518,5932.8,0,5932.8,30.2,126390,1920,1080,42841.7,355694806,1.2473e+07,1.42788e+07,libvpx
209286520,5963,0,5963,30.2,126869,1920,1080,43070.8,357243326,1.23634e+07,1.42692e+07,libvpx
209287521,5992.2,0,5992.2,29.2,127490,1920,1080,43286.5,358850063,1.28411e+07,1.42621e+07,libvpx
209288522,6022.2,0,6022.2,29.8,128262,1920,1080,43521,360481025,1.30347e+07,1.4256e+07,libvpx
209289524,6053,0,6053,30.8,128940,1920,1080,43751.9,362101271,1.29361e+07,1.42495e+07,libvpx
209290526,6082.4,0,6082.4,29.4,129605,1920,1080,43962.7,363704901,1.28034e+07,1.42424e+07,libvpx
209291527,6112.6,0,6112.6,30.2,130364,1920,1080,44182.3,365321565,1.29204e+07,1.4236e+07,libvpx
209292527,6143,0,6143,30.4,130948,1920,1080,44396,366892111,1.25644e+07,1.42279e+07,libvpx
209293528,6173,0,6173,30,131467,1920,1080,44599.3,368393029,1.19953e+07,1.42171e+07,libvpx
209294529,6202.8,0,6202.8,29.8,132058,1920,1080,44792.2,369939416,1.23587e+07,1.42082e+07,libvpx
209295530,6232.8,0,6232.8,30,132805,1920,1080,44998.9,371645838,1.36377e+07,1.42054e+07,libvpx
209296531,6262.6,0,6262.6,29.8,133538,1920,1080,45208.1,373358385,1.36867e+07,1.4203e+07,libvpx
209297532,6293,0,6293,30.4,134257,1920,1080,45426.8,375066233,1.36491e+07,1.42003e+07,libvpx
209298533,6323,0,6323,30,134923,1920,1080,45639.7,376795060,1.38168e+07,1.41985e+07,libvpx
209299534,6352.8,0,6352.8,29.8,135561,1920,1080,45855.4,378425058,1.3027e+07,1.4193e+07,libvpx
209300535,6383,0,6383,30.2,136077,1920,1080,46075,380043428,1.2934e+07,1.41871e+07,libvpx
209301536,6412.8,0,6412.8,29.8,136671,1920,1080,46292.3,381782208,1.38963e+07,1.41858e+07,libvpx
209302538,6442.8,0,6442.8,30,137344,1920,1080,46517.5,383467163,1.34527e+07,1.41824e+07,libvpx
209303539,6473,0,6473,30.2,138046,1920,1080,46747.2,385094326,1.30043e+07,1.4177e+07,libvpx
209304540,6503,0,6503,30,138772,1920,1080,46971.2,387035253,1.55119e+07,1.41831e+07,libvpx
209305541,6533,0,6533,30,139512,1920,1080,47195.5,388838947,1.44151e+07,1.41841e+07,libvpx
209306543,6562.8,0,6562.8,29.8,140223,1920,1080,47413.3,390880680,1.63013e+07,1.41938e+07,libvpx
209307544,6592.8,0,6592.8,30,141069,1920,1080,47671.2,393305348,1.9378e+07,1.42172e+07,libvpx
209308546,6621.8,0,6621.8,29,141993,1920,1080,47928.3,395881249,2.05661e+07,1.42458e+07,libvpx
209309547,6651.6,0,6651.6,29.8,142981,1920,1080,48188.4,398645193,2.20895e+07,1.4281e+07,libvpx
209310548,6679,0,6679,27.4,143967,1920,1080,48441.7,401089697,1.95365e+07,1.43045e+07,libvpx
209311550,6711,0,6711,32,144917,1920,1080,48697.1,403319423,1.78022e+07,1.432e+07,libvpx
209312551,6743.4,0,6743.4,32.2,145577,1920,1080,48961.9,404921289,1.28021e+07,1.43133e+07,libvpx
209313552,6773,0,6773,29.6,146359,1920,1080,49190.8,406587546,1.33167e+07,1.43089e+07,libvpx
209314553,6803.4,0,6803.4,30.2,147212,1920,1080,49400.7,408163460,1.25947e+07,1.43014e+07,libvpx
209315554,6833.6,0,6833.6,30.2,147849,1920,1080,49593.6,409511859,1.07764e+07,1.4286e+07,libvpx
209316556,6864,0,6864,30.2,148320,1920,1080,49796.5,410846069,1.06524e+07,1.42702e+07,libvpx
209317558,6893.6,0,6893.6,29.6,148866,1920,1080,50006.6,412355821,1.20539e+07,1.42606e+07,libvpx
209318559,6924,0,6924,30.4,149560,1920,1080,50223.4,413800849,1.15487e+07,1.42489e+07,libvpx
209319561,6953.8,0,6953.8,29.8,150124,1920,1080,50420.6,415280253,1.18116e+07,1.42384e+07,libvpx
